state,area (sq. mi),pop_2014
Alabama,52423,4849377
Alaska,656425,736732
Arizona,114006,6731484
Arkansas,53182,2966369
California,163707,38802500
Colorado,104100,5355866
Connecticut,5544,3596677
Delaware,1954,935614
District of Columbia,68,658893
Florida,65758,19893297
Georgia,59441,10097343
Hawaii,10932,1419561
Idaho,83574,1634464
Illinois,57918,12880580
Indiana,36420,6596855
Iowa,56276,3107126
Kansas,82282,2904021
Kentucky,40411,4413457
Louisiana,51843,4649676
Maine,35387,1330089
Maryland,12407,5976407
Massachusetts,10555,6745408
Michigan,96810,9909877
Minnesota,86943,5457173
Mississippi,48434,2994079
Missouri,69709,6063589
Montana,147046,1023579
Nebraska,77358,1881503
Nevada,110567,2839099
New Hampshire,9351,1326813
New Jersey,8722,8938175
New Mexico,121593,2085572
New York,54475,19746227
North Carolina,53821,9943964
North Dakota,70704,739482
Ohio,44828,11594163
Oklahoma,69903,3878051
Oregon,98386,3970239
Pennsylvania,46058,12787209
Rhode Island,1545,1055173
South Carolina,32007,4832482
South Dakota,77121,853175
Tennessee,42146,6549352
Texas,268601,26956958
Utah,84904,2942902
Vermont,9615,626562
Virginia,42769,8326289
Washington,71303,7061530
West Virginia,24231,1850326
Wisconsin,65503,5757564
Wyoming,97818,584153
